brand,phone_name,phone_price,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Mate 20 Lite,154,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Enjoy 8e Lite,91,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 8x Max,227,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 8x,187,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Maimang 7,258,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Y9 (2019),264,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 8C,131,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Enjoy Max,240,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Enjoy 9 Plus,210,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Mate 20,391,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Mate 20X,531,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Mate 20 Pro,534,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor Magic 2,333,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 10 Lite,159,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Enjoy 9,150,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei nova 4,298,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Y Max,178,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor View 20,426,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P Smart 2019,145,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor Play 8A,182,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Y6 Pro,105,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P smart+ 2019,167,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei nova 4e,245,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Enjoy 9s,247,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Enjoy 9e,127,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P30,395,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P30 Pro,612,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P30 lite,201,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 20i,185,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Y5,85,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 8s,120,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 20 Lite,170,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P Smart Z,152,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Y9 Prime,181,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Mate 20X 5G,1273,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 20 Pro,409,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 20,490,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Maimang 8,217,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei nova 5 Pro,350,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor Play 8,127,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 9x Pro,311,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 9x,197,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 20S,273,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Enjoy 10 Plus,218,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor Play 3e,148,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor Play 3,152,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Mate 30 Pro,930,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Mate 30,615,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Nova 5T,303,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei nova 5z,234,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Enjoy 10,168,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Y9s,249,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor V30 Pro,539,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor V30,476,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Nova 6,408,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei nova 6 SE,324,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Y6s,137,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P40 Lite,275,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P40,679,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 30S,470,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor Play 9A,170,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P40 Lite E,194,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor Play 4T Pro,230,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 30 Pro,639,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 30,487,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Nova 7 Pro,680,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Nova 7,550,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei nova 7 SE,450,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi Note,130,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi Note 2,113,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi4c,122,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi4S,128,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi 3S,117,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi Note 4,169,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi5s Plus,256,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi5s,198,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi Note 2,162,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi 4A,90,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi Note 4X,135,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi 4X,135,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi5c,139,,,,,,,,,,,,,,,,,,,,,,,,,,
